Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58341336,"The Botanist (Washington Poe, #5)",M.W. Craven,"Craven, M.W.",,349135541,9.78035E+12,0,4.53,Constable,Hardcover,448,2022,2022,TBR,14/11/2025,"hardcopy, currently-reading","hardcopy (#52), currently-reading (#5)",currently-reading,,,,1,0
44074800,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,"Hendrix, Grady",,,,0,3.79,Quirk Books,Kindle Edition,410,2020,2020,TBR,14/11/2025,"audiobooks, libby, currently-reading","audiobooks (#132), libby (#52), currently-reading (#4)",currently-reading,,,,1,0
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,,,5,4.05,Tor,Kindle Edition,296,2022,2022,14/11/2025,12/11/2025,"audiobooks, borrowbox","audiobooks (#131), borrowbox (#41)",read,"Oh my greatness!!  How cute and wholesome was this? Who would have thought that a story of an orc opening a cafe could be so incredibly heartwarming. @travis_baldree created the perfect example of found family in this. The whole book centres around Viv - and Orc - who opens her dream cafe and page by page she attracts creatures to her and the shop and it turns into such a warm and welcoming place for everyone that might be a bit lost themselves. I simply adored Thimble the baking ratkin- and I love how his character grows with each new item he creates. This book has it all, a little romance, loyal friendships, character growth and loads of giggles along the way. I found this very endearing and thought provoking. If we all could just support and encourage someone that is a little off track can you imagine what the world would be like!<br/>If you need a little pick-me-up, this is the book for you!!",,,1,0
232184233,The Magickal Summer of Evie Edelman,Harriett de Mesquita,"Mesquita, Harriett de",,1916747485,9.78192E+12,0,3.09,UCLan Publishing,Paperback,425,2025,,TBR,13/11/2025,"hardcopy, currently-reading","hardcopy (#51), currently-reading (#3)",currently-reading,,,,1,0
222175369,White River Crossing,Ian McGuire,"McGuire, Ian",,,9.79822E+12,5,4.15,Crown,Hardcover,288,2026,2026,13/11/2025,09/11/2025,hardcopy,hardcopy (#50),read,This was a hauntingly beautiful tale of survival and dare I say ambition gone wrong. A tale set in the 1700's at a remote outpost of the Hudson Bay Company already brings to mind pictures of struggling to survive in harsh conditions add in the hostility with the indigenous people and you are set for what was truly an amazing story. A troop of 6 set off to go find gold in an even more desolate area than where they live. The trek there comes with many challenges along the way. I loved how each member in the parties characters developed and you really get to know them. Ian McGuire paints a vivid picture not just about the landscape but the people as well. It struck me many times through this novel how difficult live was back then and how thankful we have to be each day to have technology and infrastructure like we do. Ultimately this was a tale that emphasised what greed will do to a person and what some people will do to obtain what they believe is precious. <br/><br/>This book will go down well with any avid historical fiction fan. It left me pondering many things afterwards and even a consideration to go see Hudson Bay. <br/><br/>This Paperback was sent to me by @simonschusteruk and I would like to thank them for this Advanced copy and many thanks to Ian McGuire for such a beautiful tale.<br/><br/>This will be released in February 2026 - keep your eyes peeled for this one - it's truly unforgettable.,,,1,0
21220363,"The Dying Place (DI Murphy and DS Rossi, #2)",Luca Veste,"Veste, Luca",,7525583,9.78001E+12,0,3.96,Avon,Paperback,383,1682,2014,TBR,12/11/2025,"play-books, currently-reading","play-books (#4), currently-reading (#2)",currently-reading,,,,1,0
44452886,"Taming Their Omega (Waxing Crescent, #1)",Jasmine Mills,"Mills, Jasmine",,,,0,3.41,,Kindle Edition,196,2019,2019,TBR,12/11/2025,to-read,to-read (#251),to-read,,,,0,0
199798006,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,1982198788,9.78198E+12,5,3.63,Atria/Emily Bestler Books,Hardcover,312,2024,2024,12/11/2025,11/11/2025,"audiobooks, libby","audiobooks (#130), libby (#51)",read,"This was so creepy! I was on edge through this whole bloody book! @marcus_kliewer delivered a spine chilling horror/mystery as his debut novel and it was amazing!  Bringing into the book real phenomenon like capgras syndrome and the Mandela effect (there are a few more) add in a creepy isolated house and we are set for what can only be described as a bizarre tale. A family show up on Eve's doorstep and what happens after that is just strange and perplexing. I felt just as unsure and confused as Eve for the latter part of the book and even now after finishing, I am still trying to make sense of it all. Simple things we do everyday like misplace a phone turns into a mystery and honestly this made this entire book so much more real. Fantastic debut, would recommend 100%!",,,1,0
187542945,"Captured by the Fae Beast (Monsters of Faery, #1)",Mallory Dunlin,"Dunlin, Mallory",,,,0,3.87,Independently Published,Kindle Edition,374,2023,2022,TBR,12/11/2025,to-read,to-read (#250),to-read,,,,0,0
60657589,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,"Fawcett, Heather",,059350013X,9.78059E+12,0,3.97,Del Rey,Hardcover,317,2023,2023,TBR,12/11/2025,to-read,to-read (#249),to-read,,,,0,0
32580398,"Perfect Remains (D.I. Callanach, #1)",Helen Sarah Fields,"Fields, Helen Sarah",,000818156X,9.78001E+12,5,4.18,Avon,Kindle Edition,418,2017,2017,11/11/2025,02/06/2025,"audiobooks, bookbeat","audiobooks (#127), bookbeat (#20)",read,"Wow!! This was thrilling!! @helenfields_author combines all things gruesome and thriller together for the perfect start to a new series! Not just is there some seriously demented torture techniques in here but also some first class pshycological mind games. This combined with excellent police procedure, guarenteed that I am now hooked on this series! We meet DI Callanach and start his series debut on a seriously twisted case. I love his character and his back story and I can sense only good things to come! Action-packed from start to finish- ideal for any thriller fans.",,,1,0
62919847,The Reformatory,Tananarive Due,"Due, Tananarive",,1982188340,9.78198E+12,0,4.44,S&S/Saga Press,Hardcover,576,2023,2023,TBR,11/11/2025,to-read,to-read (#248),to-read,,,,0,0
203578918,"The Mirror (The Lost Bride Trilogy, #2)",Nora Roberts,"Roberts, Nora",,1250288770,9.78125E+12,5,4.19,St. Martin's Press,Hardcover,435,2024,2024,11/11/2025,07/11/2025,"audiobooks, borrowbox","audiobooks (#129), borrowbox (#40)",read,"This was beautiful and sad but also hopeful. I love the lost brides trilogy and am impatiently waiting for @norarobertsauthor to release the last book. This is such a beautiful story. In this book we were given much needed insight into the history of the 7 brides and their companions. I love that we spent more time with Sonya and the rest of the cast, just doing normal things. She has grown so much between the first and second book and she is really becoming a strong independent woman regardless of her past. The tragedy at the manor pulls at all the heart stings and I had to blink away some stray tears on more than one occasion. I love Chloe and her sassy mouth and can not wait to see what waits for our gals in the last book!",,,1,0
65137920,The Lost Bookshop,Evie  Woods,"Woods, Evie",Evie Gaughan,8609209,9.78001E+12,0,4,One More Chapter/HarperCollins UK,Kindle Edition,444,2023,2023,TBR,10/11/2025,"kindle, currently-reading","kindle (#40), currently-reading (#1)",currently-reading,,,,1,0
10119020,"Spider Bones (Temperance Brennan, #13)",Kathy Reichs,"Reichs, Kathy",,99492393,9.7801E+12,5,3.93,Arrow,Paperback,384,2011,2010,10/11/2025,08/11/2025,hardcopy,hardcopy (#49),read,"It's no secret that I am a devout @kathyreichs fan and this book cemented that fact once again. I find the cases in these books fascinating, the history and the amount of research and detail that goes into them blows my mind every time! In this book we get pulled into the workings of JPAC, a military branch that specialises in the recovery of soldiers remains that perished in war - specifically with this case - Vietnam. After finishing the book I went and read up about this and it is truly fascinating as well as heartbreaking. Some of these soldiers get reunited with their family's 40 or 50 years after they have died which in itself is a huge achievement. Tempe once again gets sucked into a side case which turns out to be gang related and her family becomes targets as well. I love how fast paced and action packed these books are and I love the medical aspect of these investigations. Book 13 in the series and it just keeps getting better!",,,1,0
204593914,"Phantasma (Wicked Games, #1)",Kaylie Smith,"Smith, Kaylie",,1538769255,9.78154E+12,5,4.06,Forever,Paperback,497,2024,2024,09/11/2025,07/08/2024,kindle,kindle (#38),read,"Oh my greatness!! I absolutely loved this! This was so much fun to read, @kaylsmoon knows exactly how to grab your attention and hold it! The story kept flowing and there was never a dull moment. Moving between Ophelia and Genevieve's life story giving us background,  to the romance with Blackwell which got pretty spicy, and then to the epic game to survive the nine levels of Hell whilst being among devils and ghouls and everything else terrifying! The trials where so well thought out, it felt like I was there, each emotion and though described in detail - it was exquisite! It felt creepy and dark - a delicious gothic romantasy! Highly recommend to all fantasy buffs!",,,1,0
32258,"Body Double (Rizzoli & Isles, #4)",Tess Gerritsen,"Gerritsen, Tess",,034545894X,9.78035E+12,5,4.19,Ballantine Books,Mass Market Paperback,432,2005,2004,08/11/2025,01/11/2025,libby,libby (#50),read,This 4th book in the Rizzoli and Isles series had me glued to my screen. @tess.gerritsen is truly a master at creating a truly horrific psychological thriller. Not just does Maura discover she has a twin but the details of her adoption and her family history comes into question. This was heartbreaking to read and as the story unfolds she is faced with the old fashioned question of nature vs nurture you can't help feeling drawn to her plight. A fantastic continuation of the series and you start to really get invested in the characters. Absolute must for police procedure fiends.,,,1,0
152301213,The Shadow Network (WW2 Secret Agent #2),Deborah Swift,"Swift, Deborah",,8586837,9.78001E+12,5,4.19,HQ Digital,Kindle Edition,353,2024,,07/11/2025,05/11/2025,"audiobooks, borrowbox","audiobooks (#128), borrowbox (#39)",read,"With this second book in the series @deborahswiftauthor proofs once again how historical fiction can be complex psychological thrillers as well. This was fast paced and had me on the edge of my seat all the way through. I loved that Neil Callaghan from the first book was prominent in this, it made it feel very familiar and I loved that he got his story as well.  Lilli the FMC is such a strong character and had a lot thrown at her, which to be fair she was amazing at dealing with. What was fascinating was that the book was about Britain's ""black propaganda "" radio broadcasts that were done to sow dissent in Germany. An excellent historical fiction that should be read by all history buffs!",,,1,0
220784215,Last Train to Freedom,Deborah Swift,"Swift, Deborah",,8739684,9.78001E+12,0,4.33,HQ Digital,Kindle Edition,337,2025,2025,TBR,07/11/2025,to-read,to-read (#247),to-read,,,,0,0
208166764,"Operation Tulip (WW2 Secret Agent, #3)",Deborah Swift,"Swift, Deborah",,8586853,9.78001E+12,0,4.35,HQ Digital,Kindle Edition,369,2024,2024,TBR,07/11/2025,to-read,to-read (#246),to-read,,,,0,0
36680194,A Looming of Vultures (Ruritanian Rogues #1),Richard  Storry,"Storry, Richard",,,,0,4.56,Cryptic Publications,Kindle Edition,228,2017,2017,TBR,06/11/2025,to-read,to-read (#245),to-read,,,,0,0
52775593,"Kings of Quarantine (Brutal Boys of Everlake Prep, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,,,0,4.15,King's Hollow,Kindle Edition,658,2020,2020,TBR,05/11/2025,to-read,to-read (#244),to-read,,,,0,0
61465075,Taming Wrath (Sons of Satan),S.  Lucas,"Lucas, S.",,,,0,4.27,,Kindle Edition,306,2022,2022,TBR,04/11/2025,to-read,to-read (#243),to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,63021420,9.78006E+12,3,4.15,Harper Voyager,Hardcover,544,2022,2022,04/11/2025,31/10/2025,"audiobooks, libby","audiobooks (#126), libby (#49)",read,"I really struggled with this one. Between the linguistics  lectures ( yes it felt like I was back in school!) and the talk about racism, colonialism and slavery I lost the plot. This was obviously not the book for me. Although this was beautifully written it does not help the fact that I did not connect with this book. Dark academia fans will love this.",,,1,0
239584676,Curtains for Ginger: Short Stories for Grown Ups Volume One,Emma Sheehan,"Sheehan, Emma",,,9.79829E+12,5,5,Independently published,Paperback,59,2025,,04/11/2025,11/10/2025,kindle,kindle (#39),read,What a lovely collection of short stories! I had a good few giggles and was shocked a few times more! Just the right thing to take your mind of life for a few minutes!,,,1,0
43359710,Curtains for Ginger,E.E Sheehan,"Sheehan, E.E",,,,5,4.5,Twelfth Night Press,Kindle Edition,51,2018,,04/11/2025,04/11/2025,,,read,<strong>Cute and funny</strong><br/><br/>What a lovely collection of short stories! I had a good few giggles and was shocked a few times more! Just the right thing to take your mind of life for a few minutes!,,,1,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",Jack Womack,,,0,3.89,Ace,Kindle Edition,268,2018,1984,TBR,01/11/2025,to-read,to-read (#242),to-read,,,,0,0
231819058,The Intruder,Freida McFadden,"McFadden, Freida",,1464260915,9.78146E+12,4,3.93,Poisoned Pen Press,Hardcover,288,2025,2025,31/10/2025,31/10/2025,"audiobooks, libby","audiobooks (#125), libby (#48)",read," @fmcfaddenauthor does it again! What a twisted dark and sad thriller this was! I love the back and forth between now and then, you never quite know where exactly it's heading, just that you need to pay attention and there will be some serious twists at the end! I have to say this one was very sad for me, there was a lot of trauma and emotional damage to work through. Loved the end!!! Bittersweet at it's best! Pshycological thriller fans, I know you will all love this one.",,,1,0
153025,Heart-Shaped Box,Joe Hill,"Hill, Joe",,61147931,9.78006E+12,4,3.84,William Morrow,Hardcover,376,2007,2007,31/10/2025,26/10/2025,hardcopy,hardcopy (#48),read,This book was creepy and terrifying from the first page. I mean what did you expect from a book where a guy buys a ghost. @joe_hill certainly have a gift for the twisted and macabre. What the blurb doesn't tell you is that this is also a book about love and dealing with the past. As I uncovered the many layers this tale has and you get down to the horrible truths I could not help being sad for these characters and what they have lived through. The tension in this book is palpable and you literally sit on the edge of your seat the whole way through. Definitely a must read for horror fans!,,,1,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,4,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,31/10/2025,30/10/2025,"audiobooks, spotify","audiobooks (#124), spotify (#15)",read,The perfect cure for a miserable rainy Thursday. This book is hilarious and absurd and the most fun I had this week! Travel the universe with Arthur and Ford and escape this world in exchange for a ridiculous tale filled with entertaining banter and obnoxious aliens. You will pick up useful information like always have a towel and keep a babel fish to help with communication. In the end the only thing you need to know about this book is that the answer to it al is 42!,,,1,0
127280850,Weyward,Emilia Hart,"Hart, Emilia",,1250842727,9.78125E+12,4,4.06,Griffin,Paperback,392,2024,2023,30/10/2025,21/09/2025,"audiobooks, libby","audiobooks (#123), libby (#47)",read,"A heartbreaking yet empowering tale of the woman of the Weyward family. @emiliahartbooks takes us on a vivid journey through the lives of these woman and their tales of heartbreak and the resilience to get through these times. Each woman and era brings it's own unique challenges. I love how the strength for these woman is build on the knowledge of their predecessor making it through an equal or worse situation and how they rose above it by their deep bond with nature albeit being cast aside as witches. I think this gave a beautiful message to all woman, you are stronger than you think and you can change your situation. A lovely woman's historical fiction perfect for Halloween!",,,1,0
204960851,"Delilah (Under Your Scars, #1.5)",Ariel N. Anderson,"Anderson, Ariel N.",,,,5,4.33,Independently Published,ebook,,2024,,30/10/2025,30/10/2025,kindle,kindle (#37),read,,,,1,0
177121503,"Under Your Scars (Under Your Scars, #1)",Ariel N. Anderson,"Anderson, Ariel N.",,,9.79899E+12,5,4.36,Ariel N. Anderson,Kindle Edition,480,2023,2023,29/10/2025,08/10/2025,kindle,kindle (#36),read,"What. The. Actual. Fuck. <br/>This is a Dark Romance Tragedy... yes read that again a tragedy, how do you even recover after this.... @ariel.n.anderson gives trauma a new meaning. There is so much love and destruction, pain and healing, raw emotion, control and dependancy.... a book filled to the brim with nothing but devastation and survival. This has left me reeling and I'm not okay, this was brutal and soul crushing, but in the best kind of way. Triggers, so many triggers please make sure you know what you are doing before starting this. Tonight I'm hugging each one of my loved ones and checking that that they are okay and I bet you will do the same once you've read this.",,,1,0
48822080,The Englishman (The Englishman #1),David Gilman,"Gilman, David",,1838931422,9.78184E+12,4,4.16,Head of Zeus,Kindle Edition,325,2020,2020,29/10/2025,27/10/2025,"audiobooks, libby","audiobooks (#122), libby (#46)",read,"What an intense book! David Gilman had my full attention from the first chapter. This was fast-paced packed with action right out the blocks! The captivating writing and plot had me mesmerised. There is a hint of historical fiction in this and the research and scene setting was excellent, we were transposed to a few different locations and I could vividly build these in my mind. But let's not stray from the the fact that this was an excellent espionage thriller. Raglan is an enigmatic character and I want to know more! For any action junkie this book will sate your need.",,,1,0
